milestone_id,study_id,protocol_id,study_title,milestone_type,planned_date,actual_date,milestone_status,days_delayed,is_completed_missing_actual_date,is_delayed,milestone_risk_level
MILE001,STUDY078,RHEUM-2025-078,Patient Education Strategies for Technology-Enabled Care Delivery,First Subject Enrolled,2023-12-13,2023-12-11,Completed,-2.0,False,False,Low
MILE002,STUDY001,RHEUM-2022-001,Pragmatic Care Delivery for Polypharmacy Monitoring,Enrollment Target 50%,2024-07-20,2024-12-15,Delayed,148.0,False,True,High
MILE003,STUDY014,RHEUM-2023-014,Pragmatic Care Delivery for Rheumatoid Arthritis,IRB Approval,2022-12-25,2023-05-04,Delayed,130.0,False,True,High
MILE004,STUDY015,RHEUM-2023-015,Pragmatic Care Delivery for Inflammatory Arthritis,Enrollment Target 50%,2024-10-27,,Completed,,True,False,High
MILE005,STUDY057,RHEUM-2022-057,Care Coordination in Technology-Enabled Care Delivery,Data Lock,2026-11-30,2027-01-27,Completed,58.0,False,True,High
MILE006,STUDY097,RHEUM-2022-097,Digital Workflow for Technology-Enabled Care Delivery,JIT Submission,2025-02-27,2025-05-01,Delayed,63.0,False,True,High
MILE007,STUDY059,RHEUM-2023-059,Pragmatic Care Delivery for Infection Prevention,IRB Submission,2026-05-08,2026-10-30,Delayed,175.0,False,True,High
MILE008,STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,First Subject Enrolled,2024-09-14,,Not Started,,False,False,Low
MILE009,STUDY053,RHEUM-2024-053,Care Coordination in Lupus,JIT Submission,2025-10-18,,In Progress,,False,False,Low
MILE010,STUDY034,RHEUM-2022-034,Infection Prevention Among Patients With Technology-Enabled Care Delivery,First Subject Enrolled,2024-11-23,,Not Started,,False,False,Low
MILE011,STUDY096,RHEUM-2025-096,Care Coordination in Inflammatory Arthritis,JIT Submission,2023-08-12,,Not Started,,False,False,Low
MILE012,STUDY046,RHEUM-2024-046,Digital Workflow for Infection Prevention,First Subject Enrolled,2022-06-05,,In Progress,,False,False,Low
MILE013,STUDY096,RHEUM-2025-096,Care Coordination in Inflammatory Arthritis,First Subject Enrolled,2025-03-20,2025-03-13,Completed,-7.0,False,False,Low
MILE014,STUDY031,RHEUM-2022-031,Medication Safety for Gout,Enrollment Target 50%,2024-10-18,,In Progress,,False,False,Low
MILE015,STUDY032,RHEUM-2022-032,Remote Monitoring for Inflammatory Arthritis,JIT Submission,2023-02-28,,In Progress,,False,False,Low
MILE016,STUDY087,RHEUM-2022-087,Digital Workflow for Lupus,Final Report,2022-11-16,2022-11-06,Not Started,-10.0,False,False,Low
MILE017,STUDY070,RHEUM-2022-070,Medication Safety for Osteoporosis,IRB Submission,2025-06-11,,Not Started,,False,False,Low
MILE018,STUDY080,RHEUM-2022-080,Infection Prevention Among Patients With Lupus,JIT Submission,2026-10-03,,Completed,,True,False,High
MILE019,STUDY024,RHEUM-2023-024,Care Coordination in Rheumatoid Arthritis,Enrollment Target 50%,2024-10-05,2024-11-06,Completed,32.0,False,True,High
MILE020,STUDY017,RHEUM-2022-017,Remote Monitoring for Gout,IRB Submission,2024-03-25,,In Progress,,False,False,Low
MILE021,STUDY070,RHEUM-2022-070,Medication Safety for Osteoporosis,IRB Submission,2024-12-12,2025-04-14,Delayed,123.0,False,True,High
MILE022,STUDY088,RHEUM-2024-088,Telemedicine Follow-Up in Rheumatoid Arthritis,Study Activation,2024-10-26,2024-11-15,Completed,20.0,False,True,Medium
MILE023,STUDY059,RHEUM-2023-059,Pragmatic Care Delivery for Infection Prevention,JIT Submission,2024-07-25,,Not Started,,False,False,Low
MILE024,STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,IRB Approval,2025-11-12,,Completed,,True,False,High
MILE025,STUDY034,RHEUM-2022-034,Infection Prevention Among Patients With Technology-Enabled Care Delivery,Study Activation,2023-10-29,2023-12-16,Completed,48.0,False,True,High
MILE026,STUDY035,RHEUM-2023-035,Digital Workflow for Technology-Enabled Care Delivery,Final Report,2025-01-28,2025-01-28,Completed,0.0,False,False,Low
MILE027,STUDY024,RHEUM-2023-024,Care Coordination in Rheumatoid Arthritis,Final Report,2025-06-09,2025-06-25,Completed,16.0,False,True,Medium
MILE028,STUDY097,RHEUM-2022-097,Digital Workflow for Technology-Enabled Care Delivery,JIT Submission,2024-05-18,,In Progress,,False,False,Low
MILE029,STUDY058,RHEUM-2024-058,Infection Prevention Among Patients With Chronic Inflammatory Disease,Study Activation,2024-01-18,2024-03-30,Delayed,72.0,False,True,High
MILE030,STUDY088,RHEUM-2024-088,Telemedicine Follow-Up in Rheumatoid Arthritis,First Subject Enrolled,2025-03-16,,In Progress,,False,False,Low
MILE031,STUDY031,RHEUM-2022-031,Medication Safety for Gout,Data Lock,2026-07-26,,Not Started,,False,False,Low
MILE032,STUDY019,RHEUM-2022-019,Comparative Effectiveness in Technology-Enabled Care Delivery,Study Activation,2026-10-20,2026-12-10,Delayed,51.0,False,True,High
MILE033,STUDY064,RHEUM-2025-064,Pragmatic Care Delivery for Inflammatory Arthritis,Study Activation,2024-08-26,,Not Started,,False,False,Low
MILE034,STUDY063,RHEUM-2025-063,Digital Workflow for Inflammatory Arthritis,Enrollment Target 50%,2026-10-06,2026-12-15,Completed,70.0,False,True,High
