study_id,protocol_id,study_title,condition_area,intervention_type,enrollment_month,study_arm,screened_count,enrolled_count,active_count,completed_count,withdrawn_count,ineligible_count,invalid_enrollment_date_count,enrolled_ineligible_count,withdrawn_missing_reason_count
STUDY081,RHEUM-2025-081,Polypharmacy Monitoring for Lupus,lupus,Care Coordination,2024-09-01,Standard Care,1,1,0,0,0,1,0,0,0
STUDY009,RHEUM-2023-009,Polypharmacy Monitoring for Lupus,lupus,Medication Management,2023-10-01,Digital Review,1,1,0,0,1,1,0,0,0
STUDY051,RHEUM-2022-051,Comparative Effectiveness in Gout,gout,Digital Workflow,2025-08-01,In-Person,1,1,0,0,0,1,0,0,0
STUDY006,RHEUM-2025-006,Telemedicine Follow-Up in Telemedicine Follow-Up,telemedicine follow-up,Care Coordination,2025-04-01,In-Person,1,1,0,1,0,0,0,0,0
STUDY089,RHEUM-2025-089,Medication Safety for Chronic Inflammatory Disease,chronic inflammatory disease,Medication Management,2023-11-01,Standard Care,1,1,1,0,0,0,0,0,0
STUDY087,RHEUM-2022-087,Digital Workflow for Lupus,lupus,Patient Education,2025-03-01,Enhanced Care,1,1,0,0,0,0,0,0,0
STUDY016,RHEUM-2025-016,Patient Education Strategies for Gout,gout,Care Coordination,2025-10-01,Control,1,1,0,0,0,0,0,0,0
STUDY087,RHEUM-2022-087,Digital Workflow for Lupus,lupus,Patient Education,2026-05-01,Control,1,1,0,1,0,0,0,0,0
STUDY020,RHEUM-2023-020,Polypharmacy Monitoring for Lupus,lupus,Digital Workflow,2025-03-01,Telemedicine,2,1,0,0,0,1,0,0,0
STUDY071,RHEUM-2025-071,Patient Education Strategies for Inflammatory Arthritis,inflammatory arthritis,Patient Education,2027-05-01,Enhanced Care,1,1,0,0,0,0,0,0,0
STUDY037,RHEUM-2022-037,Patient Education Strategies for Technology-Enabled Care Delivery,technology-enabled care delivery,Care Coordination,2025-04-01,Telemedicine,1,1,0,0,1,0,0,0,1
STUDY051,RHEUM-2022-051,Comparative Effectiveness in Gout,gout,Digital Workflow,2024-05-01,In-Person,1,1,0,0,1,1,0,0,0
STUDY020,RHEUM-2023-020,Polypharmacy Monitoring for Lupus,lupus,Digital Workflow,2024-08-01,Control,1,1,0,0,0,0,0,0,0
STUDY040,RHEUM-2023-040,Pragmatic Care Delivery for Technology-Enabled Care Delivery,technology-enabled care delivery,Patient Education,2024-02-01,Enhanced Care,1,0,0,0,0,1,1,0,0
STUDY056,RHEUM-2024-056,Pragmatic Care Delivery for Chronic Inflammatory Disease,chronic inflammatory disease,Telemedicine,2023-06-01,Standard Care,1,1,1,0,0,1,0,1,0
STUDY094,RHEUM-2023-094,Remote Monitoring for Gout,gout,Digital Workflow,2026-05-01,Enhanced Care,1,1,0,0,0,0,0,0,0
STUDY080,RHEUM-2022-080,Infection Prevention Among Patients With Lupus,lupus,Care Coordination,2025-11-01,In-Person,1,1,1,0,0,0,0,0,0
STUDY073,RHEUM-2024-073,Infection Prevention Among Patients With Infection Prevention,infection prevention,Care Coordination,2023-01-01,In-Person,1,1,0,0,0,0,0,0,0
STUDY031,RHEUM-2022-031,Medication Safety for Gout,gout,Care Coordination,2025-09-01,Control,1,0,0,0,0,0,0,0,0
STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,polypharmacy monitoring,Digital Workflow,2024-08-01,Standard Care,1,1,0,1,0,0,0,0,0
