issue_id,study_id,protocol_id,study_title,source_table,record_id,rule_name,issue_severity,issue_description
studies-STUDY004-01,STUDY004,RHEUM-2024-004,Infection Prevention Among Patients With Rheumatoid Arthritis,studies,STUDY004,Invalid Study Timeline,High,Target completion date is before activation date.
studies-STUDY015-01,STUDY015,RHEUM-2023-015,Pragmatic Care Delivery for Inflammatory Arthritis,studies,STUDY015,Invalid Study Timeline,High,Target completion date is before activation date.
studies-STUDY032-01,STUDY032,RHEUM-2022-032,Remote Monitoring for Inflammatory Arthritis,studies,STUDY032,Invalid Study Timeline,High,Target completion date is before activation date.
studies-STUDY036-01,STUDY036,RHEUM-2024-036,Digital Workflow for Osteoporosis,studies,STUDY036,Invalid Study Timeline,High,Target completion date is before activation date.
studies-STUDY095-01,STUDY095,RHEUM-2024-095,Patient Education Strategies for Technology-Enabled Care Delivery,studies,STUDY095,Invalid Study Timeline,High,Target completion date is before activation date.
subjects-SUBJ0017-01,STUDY096,RHEUM-2025-096,Care Coordination in Inflammatory Arthritis,subjects,SUBJ0017,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0112-01,STUDY039,RHEUM-2023-039,Comparative Effectiveness in Lupus,subjects,SUBJ0112,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0121-01,STUDY007,RHEUM-2023-007,Digital Workflow for Infection Prevention,subjects,SUBJ0121,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0144-01,STUDY072,RHEUM-2023-072,Polypharmacy Monitoring for Technology-Enabled Care Delivery,subjects,SUBJ0144,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0190-01,STUDY086,RHEUM-2024-086,Comparative Effectiveness in Telemedicine Follow-Up,subjects,SUBJ0190,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0209-01,STUDY020,RHEUM-2023-020,Polypharmacy Monitoring for Lupus,subjects,SUBJ0209,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0228-01,STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,subjects,SUBJ0228,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0316-01,STUDY048,RHEUM-2023-048,Pragmatic Care Delivery for Technology-Enabled Care Delivery,subjects,SUBJ0316,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0354-01,STUDY004,RHEUM-2024-004,Infection Prevention Among Patients With Rheumatoid Arthritis,subjects,SUBJ0354,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0438-01,STUDY040,RHEUM-2023-040,Pragmatic Care Delivery for Technology-Enabled Care Delivery,subjects,SUBJ0438,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0481-01,STUDY017,RHEUM-2022-017,Remote Monitoring for Gout,subjects,SUBJ0481,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0487-01,STUDY082,RHEUM-2025-082,Digital Workflow for Telemedicine Follow-Up,subjects,SUBJ0487,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0488-01,STUDY086,RHEUM-2024-086,Comparative Effectiveness in Telemedicine Follow-Up,subjects,SUBJ0488,Invalid Enrollment Timeline,High,Enrollment date is before screening date.
subjects-SUBJ0039-02,STUDY068,RHEUM-2022-068,Pragmatic Care Delivery for Polypharmacy Monitoring,subjects,SUBJ0039,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0049-02,STUDY057,RHEUM-2022-057,Care Coordination in Technology-Enabled Care Delivery,subjects,SUBJ0049,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0066-02,STUDY098,RHEUM-2024-098,Patient Education Strategies for Gout,subjects,SUBJ0066,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0101-02,STUDY023,RHEUM-2025-023,Digital Workflow for Osteoporosis,subjects,SUBJ0101,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0116-02,STUDY081,RHEUM-2025-081,Polypharmacy Monitoring for Lupus,subjects,SUBJ0116,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0120-02,STUDY031,RHEUM-2022-031,Medication Safety for Gout,subjects,SUBJ0120,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0129-02,STUDY017,RHEUM-2022-017,Remote Monitoring for Gout,subjects,SUBJ0129,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0139-02,STUDY025,RHEUM-2022-025,Comparative Effectiveness in Chronic Inflammatory Disease,subjects,SUBJ0139,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0144-02,STUDY072,RHEUM-2023-072,Polypharmacy Monitoring for Technology-Enabled Care Delivery,subjects,SUBJ0144,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0148-02,STUDY011,RHEUM-2025-011,Polypharmacy Monitoring for Polypharmacy Monitoring,subjects,SUBJ0148,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0196-02,STUDY028,RHEUM-2024-028,Polypharmacy Monitoring for Chronic Inflammatory Disease,subjects,SUBJ0196,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0228-02,STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,subjects,SUBJ0228,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0232-02,STUDY042,RHEUM-2023-042,Patient Education Strategies for Rheumatoid Arthritis,subjects,SUBJ0232,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0234-02,STUDY018,RHEUM-2025-018,Medication Safety for Lupus,subjects,SUBJ0234,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0235-02,STUDY056,RHEUM-2024-056,Pragmatic Care Delivery for Chronic Inflammatory Disease,subjects,SUBJ0235,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0238-02,STUDY049,RHEUM-2025-049,Polypharmacy Monitoring for Polypharmacy Monitoring,subjects,SUBJ0238,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0246-02,STUDY075,RHEUM-2022-075,Polypharmacy Monitoring for Osteoporosis,subjects,SUBJ0246,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0253-02,STUDY015,RHEUM-2023-015,Pragmatic Care Delivery for Inflammatory Arthritis,subjects,SUBJ0253,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0287-02,STUDY064,RHEUM-2025-064,Pragmatic Care Delivery for Inflammatory Arthritis,subjects,SUBJ0287,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0296-02,STUDY014,RHEUM-2023-014,Pragmatic Care Delivery for Rheumatoid Arthritis,subjects,SUBJ0296,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0325-02,STUDY009,RHEUM-2023-009,Polypharmacy Monitoring for Lupus,subjects,SUBJ0325,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
subjects-SUBJ0332-02,STUDY067,RHEUM-2025-067,Comparative Effectiveness in Gout,subjects,SUBJ0332,Enrolled Ineligible Subject,High,Subject is enrolled or active while marked ineligible.
