study_id,protocol_id,study_title,condition_area,study_status,target_accrual,total_subjects_enrolled,accrual_rate,pending_jit_count,delayed_milestone_count,high_severity_dq_count,total_dq_issue_count,days_to_completion,risk_score,risk_level,risk_reason_summary
STUDY001,RHEUM-2022-001,Pragmatic Care Delivery for Polypharmacy Monitoring,polypharmacy monitoring,Active,159,2,0.0126,0,1,1,1,-805,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY002,RHEUM-2022-002,Polypharmacy Monitoring for Polypharmacy Monitoring,polypharmacy monitoring,Closed to Accrual,43,4,0.093,0,1,0,0,246,60,Medium,Low accrual; Delayed milestones
STUDY003,RHEUM-2025-003,Medication Safety for Telemedicine Follow-Up,telemedicine follow-up,Active,89,5,0.0562,0,3,1,1,-364,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY004,RHEUM-2024-004,Infection Prevention Among Patients With Rheumatoid Arthritis,rheumatoid arthritis,Active,190,7,0.0368,0,0,2,2,-952,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY005,RHEUM-2024-005,Care Coordination in Chronic Inflammatory Disease,chronic inflammatory disease,Active,91,5,0.0549,0,0,0,0,516,40,Medium,Low accrual
STUDY006,RHEUM-2025-006,Telemedicine Follow-Up in Telemedicine Follow-Up,telemedicine follow-up,Active,127,5,0.0394,1,1,0,1,-342,95,High,Low accrual; Pending JIT; Delayed milestones; Completion date approaching
STUDY007,RHEUM-2023-007,Digital Workflow for Infection Prevention,infection prevention,Active,56,3,0.0536,0,1,1,1,-61,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY008,RHEUM-2024-008,Pragmatic Care Delivery for Gout,gout,Suspended,274,3,0.0109,0,0,0,0,-348,55,Medium,Low accrual; Completion date approaching
STUDY009,RHEUM-2023-009,Polypharmacy Monitoring for Lupus,lupus,Closed to Accrual,225,5,0.0222,0,0,1,1,-841,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY010,RHEUM-2025-010,Care Coordination in Gout,gout,Closed to Accrual,237,9,0.038,0,0,0,0,-814,55,Medium,Low accrual; Completion date approaching
STUDY011,RHEUM-2025-011,Polypharmacy Monitoring for Polypharmacy Monitoring,polypharmacy monitoring,Pending Activation,190,1,0.0053,0,3,1,1,-13,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY012,RHEUM-2025-012,Digital Workflow for Rheumatoid Arthritis,rheumatoid arthritis,Pending Activation,299,5,0.0167,2,0,0,2,-353,75,High,Low accrual; Pending JIT; Completion date approaching
STUDY013,RHEUM-2023-013,Polypharmacy Monitoring for Telemedicine Follow-Up,telemedicine follow-up,Suspended,97,6,0.0619,0,0,1,1,46,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY014,RHEUM-2023-014,Pragmatic Care Delivery for Rheumatoid Arthritis,rheumatoid arthritis,Active,104,3,0.0288,0,1,1,1,-347,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
STUDY015,RHEUM-2023-015,Pragmatic Care Delivery for Inflammatory Arthritis,inflammatory arthritis,Pending Activation,231,3,0.013,0,0,3,3,-1458,75,High,Low accrual; High-severity data quality issues; Completion date approaching
STUDY016,RHEUM-2025-016,Patient Education Strategies for Gout,gout,Closed to Accrual,157,3,0.0191,0,1,1,1,22,95,High,Low accrual; Delayed milestones; High-severity data quality issues; Completion date approaching
