study_id,nct_id,protocol_id,study_title,principal_investigator,condition_area,study_type,study_status,intervention_type,target_accrual,activation_date,target_completion_date
STUDY001,NCT11668732,RHEUM-2022-001,Pragmatic Care Delivery for Polypharmacy Monitoring,Parker Mitchell,polypharmacy monitoring,Interventional,Active,In-Person Care,159,2023-04-03,2024-02-19
STUDY002,NCT26687537,RHEUM-2022-002,Polypharmacy Monitoring for Polypharmacy Monitoring,Parker Robinson,polypharmacy monitoring,Pragmatic Trial,Closed to Accrual,Digital Workflow,43,2024-10-31,2027-01-05
STUDY003,NCT37295260,RHEUM-2025-003,Medication Safety for Telemedicine Follow-Up,Taylor Garcia,telemedicine follow-up,Interventional,Active,Medication Management,89,2022-11-23,2025-05-05
STUDY004,NCT97942942,RHEUM-2024-004,Infection Prevention Among Patients With Rheumatoid Arthritis,Reese Patel,rheumatoid arthritis,Pragmatic Trial,Active,Care Coordination,190,2024-01-06,2023-09-25
STUDY005,NCT25808537,RHEUM-2024-005,Care Coordination in Chronic Inflammatory Disease,Avery Robinson,chronic inflammatory disease,Registry,Active,In-Person Care,91,2025-07-11,2027-10-02
STUDY006,NCT21831063,RHEUM-2025-006,Telemedicine Follow-Up in Telemedicine Follow-Up,Casey Robinson,telemedicine follow-up,Registry,Active,Care Coordination,127,2024-02-18,2025-05-27
STUDY007,NCT50929647,RHEUM-2023-007,Digital Workflow for Infection Prevention,Reese Robinson,infection prevention,Registry,Active,In-Person Care,56,2024-12-29,2026-03-04
STUDY008,NCT28317637,RHEUM-2024-008,Pragmatic Care Delivery for Gout,Casey Robinson,gout,Pragmatic Trial,Suspended,Patient Education,274,2023-10-09,2025-05-21
STUDY009,NCT99990728,RHEUM-2023-009,Polypharmacy Monitoring for Lupus,Reese Carter,lupus,Pragmatic Trial,Closed to Accrual,Medication Management,225,2022-10-20,2024-01-14
STUDY010,NCT06323852,RHEUM-2025-010,Care Coordination in Gout,Morgan Nguyen,gout,Pragmatic Trial,Closed to Accrual,Telemedicine,237,2023-03-26,2024-02-10
STUDY011,NCT33744231,RHEUM-2025-011,Polypharmacy Monitoring for Polypharmacy Monitoring,Avery Patel,polypharmacy monitoring,Registry,Pending Activation,Telemedicine,190,2024-02-21,2026-04-21
STUDY012,NCT96917555,RHEUM-2025-012,Digital Workflow for Rheumatoid Arthritis,Reese Nguyen,rheumatoid arthritis,Interventional,Pending Activation,Patient Education,299,2024-06-09,2025-05-16
STUDY013,NCT21682744,RHEUM-2023-013,Polypharmacy Monitoring for Telemedicine Follow-Up,Reese Mitchell,telemedicine follow-up,Registry,Suspended,Telemedicine,97,2025-06-01,2026-06-19
STUDY014,NCT32329237,RHEUM-2023-014,Pragmatic Care Delivery for Rheumatoid Arthritis,Jordan Patel,rheumatoid arthritis,Pragmatic Trial,Active,Care Coordination,104,2024-01-14,2025-05-22
STUDY015,NCT70823176,RHEUM-2023-015,Pragmatic Care Delivery for Inflammatory Arthritis,Parker Robinson,inflammatory arthritis,Observational,Pending Activation,Medication Management,231,2022-09-20,2022-05-07
STUDY016,NCT33273328,RHEUM-2025-016,Patient Education Strategies for Gout,Jordan Garcia,gout,Interventional,Closed to Accrual,Care Coordination,157,2024-06-16,2026-05-26
STUDY017,NCT95004803,RHEUM-2022-017,Remote Monitoring for Gout,Taylor Patel,gout,Interventional,Pending Activation,Telemedicine,161,2025-04-20,2026-05-30
STUDY018,NCT72374753,RHEUM-2025-018,Medication Safety for Lupus,Drew Davis,lupus,Pragmatic Trial,Completed,Medication Management,248,2023-07-25,2025-12-06
STUDY019,NCT47553014,RHEUM-2022-019,Comparative Effectiveness in Technology-Enabled Care Delivery,Parker Kim,technology-enabled care delivery,Interventional,Active,Telemedicine,246,2023-01-25,2023-10-28
STUDY020,NCT25529407,RHEUM-2023-020,Polypharmacy Monitoring for Lupus,Quinn Nguyen,lupus,Pragmatic Trial,Completed,Digital Workflow,276,2023-11-26,2024-09-12
STUDY021,NCT13141087,RHEUM-2025-021,Remote Monitoring for Polypharmacy Monitoring,Reese Mitchell,polypharmacy monitoring,Interventional,Completed,In-Person Care,248,2023-05-27,2024-02-08
STUDY022,NCT07869910,RHEUM-2023-022,Medication Safety for Technology-Enabled Care Delivery,Parker Mitchell,technology-enabled care delivery,Pragmatic Trial,Pending Activation,Medication Management,186,2024-09-21,2026-07-25
STUDY023,NCT25487660,RHEUM-2025-023,Digital Workflow for Osteoporosis,Taylor Mitchell,osteoporosis,Interventional,Pending Activation,Telemedicine,65,2024-05-16,2026-10-26
